"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"01.05.2018","109,38","109,32","110,03","108,65","0,05%"
"01.04.2018","109,33","106,25","109,53","105,64","2,87%"
"01.03.2018","106,28","106,67","107,31","104,56","-0,37%"
"01.02.2018","106,67","109,19","110,47","105,53","-2,31%"
"01.01.2018","109,19","112,67","113,39","108,28","-3,11%"
"01.12.2017","112,69","112,53","113,75","111,42","0,14%"
"01.11.2017","112,53","113,64","114,73","110,84","-0,98%"
"01.10.2017","113,64","112,56","114,45","111,66","1,02%"
"01.09.2017","112,49","109,98","113,27","107,33","2,29%"
"01.08.2017","109,97","110,25","111,06","108,27","-0,25%"
"01.07.2017","110,25","112,12","114,50","110,19","-1,90%"
"01.06.2017","112,38","110,78","112,95","108,84","1,44%"
"01.05.2017","110,78","111,31","114,39","110,23","-0,69%"
"01.04.2017","111,55","111,38","111,78","108,11","0,14%"
"01.03.2017","111,39","112,76","115,52","110,09","-1,23%"
"01.02.2017","112,78","112,79","114,98","111,57","-0,02%"
"01.01.2017","112,80","116,91","118,61","112,04","-3,50%"
"01.12.2016","116,89","114,44","118,69","112,84","2,11%"
"01.11.2016","114,47","104,81","114,56","101,15","9,21%"
"01.10.2016","104,82","101,35","105,54","101,19","3,43%"
"01.09.2016","101,34","103,41","104,33","100,07","-2,01%"
"01.08.2016","103,42","102,05","103,53","99,53","1,33%"
"01.07.2016","102,06","103,25","107,48","100,02","-1,19%"
"01.06.2016","103,29","110,68","110,85","99,08","-6,70%"
"01.05.2016","110,71","106,27","111,46","105,52","4,09%"
"01.04.2016","106,36","112,56","112,59","106,27","-5,52%"
"01.03.2016","112,58","112,67","114,56","110,65","-0,10%"
"01.02.2016","112,69","121,10","121,50","110,98","-6,91%"
"01.01.2016","121,06","120,27","121,70","115,96","0,62%"
"01.12.2015","120,32","123,08","123,68","119,98","-2,26%"
"01.11.2015","123,10","120,63","123,69","120,24","2,06%"
"01.10.2015","120,62","119,85","121,53","118,04","0,63%"
"01.09.2015","119,86","121,20","121,34","118,65","-1,12%"
"01.08.2015","121,22","124,00","125,28","116,46","-2,19%"
"01.07.2015","123,94","122,46","124,60","120,38","1,18%"
"01.06.2015","122,50","124,10","125,86","121,92","-1,32%"
"01.05.2015","124,14","119,37","124,50","118,86","4,00%"
"01.04.2015","119,36","120,10","120,86","118,47","-0,65%"
"01.03.2015","120,14","119,55","122,03","118,30","0,50%"
"01.02.2015","119,54","117,45","120,51","116,65","1,78%"
"01.01.2015","117,45","119,67","120,75","115,82","-1,87%"
"01.12.2014","119,69","118,68","121,86","115,56","0,89%"
"01.11.2014","118,64","112,46","118,99","112,41","5,62%"
"01.10.2014","112,33","109,63","112,50","105,18","2,43%"
"01.09.2014","109,66","104,03","109,86","104,03","5,36%"
"01.08.2014","104,08","102,78","104,45","101,49","1,25%"
"01.07.2014","102,80","101,32","103,08","101,04","1,45%"
"01.06.2014","101,33","101,81","102,81","101,21","-0,44%"
"01.05.2014","101,78","102,22","103,03","100,80","-0,47%"
"01.04.2014","102,26","103,19","104,14","101,31","-0,93%"
"01.03.2014","103,22","101,54","103,78","101,17","1,38%"
"01.02.2014","101,81","102,02","102,83","100,74","-0,22%"
"01.01.2014","102,03","105,28","105,44","101,77","-3,11%"
"01.12.2013","105,31","102,42","105,42","101,61","2,80%"
"01.11.2013","102,44","98,33","102,64","97,63","4,15%"
"01.10.2013","98,36","98,19","99,00","96,55","0,13%"
"01.09.2013","98,23","98,34","100,62","97,48","0,06%"
"01.08.2013","98,17","97,86","99,95","95,79","0,30%"
"01.07.2013","97,88","99,25","101,55","97,56","-1,27%"
"01.06.2013","99,14","100,35","100,73","93,78","-1,33%"
"01.05.2013","100,48","97,42","103,75","97,03","3,14%"
"01.04.2013","97,42","94,18","99,95","92,54","3,40%"
"01.03.2013","94,22","92,54","96,74","92,41","1,79%"
"01.02.2013","92,56","91,69","94,79","90,92","0,92%"
"01.01.2013","91,72","86,72","91,78","86,51","5,73%"
"01.12.2012","86,75","82,35","86,80","81,69","5,18%"
"01.11.2012","82,48","79,76","82,85","79,06","3,40%"
"01.10.2012","79,77","77,89","80,37","77,77","2,37%"
"01.09.2012","77,92","78,37","79,23","77,11","-0,60%"
"01.08.2012","78,39","78,10","79,67","77,91","0,33%"
"01.07.2012","78,13","79,89","80,11","77,95","-2,10%"
"01.06.2012","79,81","78,35","80,62","77,65","1,85%"
"01.05.2012","78,36","79,78","80,61","78,20","-1,80%"
"01.04.2012","79,80","82,99","83,30","79,71","-3,63%"
"01.03.2012","82,81","81,14","84,19","80,56","1,96%"
"01.02.2012","81,22","76,23","81,61","76,00","6,55%"
"01.01.2012","76,23","76,93","78,32","76,13","-0,95%"
"01.12.2011","76,96","77,57","78,24","76,88","-0,70%"
"01.11.2011","77,50","78,14","78,61","76,55","-0,90%"
"01.10.2011","78,20","77,14","79,52","75,55","1,48%"
"01.09.2011","77,06","76,66","77,88","76,09","0,59%"
"01.08.2011","76,61","77,41","80,26","75,93","-0,18%"
"01.07.2011","76,75","80,51","81,50","76,72","-4,69%"
"01.06.2011","80,53","81,49","81,53","79,67","-1,24%"
"01.05.2011","81,54","81,11","82,25","79,55","0,38%"
"01.04.2011","81,23","83,20","85,56","81,02","-2,32%"
"01.03.2011","83,16","81,80","83,30","76,25","1,69%"
"01.02.2011","81,78","82,05","84,00","81,09","-0,37%"
"01.01.2011","82,08","81,18","83,68","80,94","1,12%"
"01.12.2010","81,17","83,66","84,53","80,92","-3,01%"
"01.11.2010","83,69","80,29","84,42","80,22","4,10%"
"01.10.2010","80,39","83,49","83,98","80,37","-3,69%"
"01.09.2010","83,47","84,15","85,94","82,85","-0,83%"
"01.08.2010","84,17","86,38","86,89","83,57","-2,66%"
"01.07.2010","86,47","88,35","89,17","85,93","-2,19%"
"01.06.2010","88,41","91,19","92,91","88,26","-3,11%"
"01.05.2010","91,25","93,91","94,98","88,00","-2,75%"
"01.04.2010","93,83","93,43","94,78","91,58","0,39%"
"01.03.2010","93,47","88,83","93,64","88,10","5,18%"
"01.02.2010","88,87","89,79","92,16","88,54","-1,59%"
"01.01.2010","90,31","92,97","93,78","89,11","-2,81%"
"01.12.2009","92,92","86,28","93,16","86,11","7,60%"
"01.11.2009","86,36","89,66","91,34","84,81","-4,15%"
"01.10.2009","90,10","89,69","92,34","87,98","0,37%"
"01.09.2009","89,77","92,95","93,46","88,22","-3,50%"
"01.08.2009","93,03","94,71","97,80","92,53","-1,74%"
"01.07.2009","94,68","96,34","97,01","91,72","-1,71%"
"01.06.2009","96,33","95,31","98,90","94,43","1,06%"
"01.05.2009","95,32","98,58","99,75","93,82","-3,29%"
"01.04.2009","98,56","98,81","101,45","95,59","-0,30%"
"01.03.2009","98,86","97,71","99,69","93,52","1,34%"
