||||Sütunlar||||
Satırlar||||||||
||||Dönem 1|Dönem 2|Dönem 3|Dönem 4|
Türkiye-TR|Üretim Yöntemiyle, Gayrisafi Yurtiçi Hasıla, (2009 Bazlı), Değer|Cari Fiyatlarla ve Bin TL ve B1GQ. (Gayrisafi Yurtiçi Hasıla (Gsyh))|2005|1.41042563E8|1.6187187E8|1.85021848E8|1.85766662E8|
|||2006|1.61135993E8|1.93081373E8|2.17039426E8|2.17970763E8|
|||2007|1.89593408E8|2.12565695E8|2.37359325E8|2.40942452E8|
|||2008|2.17948234E8|2.49483189E8|2.68726652E8|2.58624783E8|
|||2009|2.11255559E8|2.41220605E8|2.71840903E8|2.74874782E8|
|||2010|2.40272872E8|2.78647853E8|3.18732806E8|3.22360447E8|
|||2011|2.90610291E8|3.3623414E8|3.81898595E8|3.8573414E8|
|||2012|3.33164005E8|3.82070002E8|4.2470539E8|4.29732717E8|
|||2013|3.85824643E8|4.41539543E8|4.91263794E8|4.91085107E8|
|||2014|4.51269184E8|4.87151068E8|5.48625835E8|5.57419789E8|
|||2015|4.97687043E8|5.62947771E8|6.31512355E8|6.46500325E8|
|||2016|5.63890602E8|6.31232693E8|6.6617643E8|7.47226025E8|
|||2017|6.50189544E8|7.36550357E8|8.28936013E8|8.89230792E8|
||||||||
