|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşsizlik Oranı (%)|3. (15-64)|2014|10.5|10.3|9.9|9.1|8.9|9.3|10.0|10.3|10.7|10.6|10.9|11.2|
||2015|11.6|11.4|10.8|9.8|9.5|9.7|10.0|10.3|10.5|10.7|10.7|11.0|
||2016|11.3|11.1|10.3|9.5|9.6|10.4|11.0|11.5|11.6|12.0|12.3|12.9|
||2017|13.3|12.9|12.0|10.7|10.4|10.4|10.9|10.8|10.8|10.5|10.5|10.6|
||2018|11.1||||||||||||
|||||||||||||||
